file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3
Crawfordsville-TP6-4351_12_20,1173.8849206349207,840.7777777777778,638.4722222222222,1845.9404761904761,1513.7460317460318,520.8809523809524,Crawfordsville-TP6-4351,12,20,0.03837775097272277,0.019306610055130867,0.026815352267881485
Crawfordsville-TP6-4352_7_6,1155.7261904761904,831.3214285714286,629.202380952381,1842.579365079365,1486.1587301587301,516.015873015873,Crawfordsville-TP6-4352,7,6,0.038189300706921274,0.03660345239051148,-0.018299166751584838
Crawfordsville-TP6-4353_19_43,1846.5238095238096,1310.4632034632034,954.025974025974,2796.2077922077924,2342.6450216450216,727.5887445887446,Crawfordsville-TP6-4353,19,43,0.059841045896782984,-0.09064844209420249,0.04346300244604251
Crawfordsville-TP6-4351_12_17,1028.7765151515152,731.1628787878788,546.625,1660.810606060606,1351.590909090909,450.6780303030303,Crawfordsville-TP6-4351,12,17,0.03515642013103654,0.03652413452396433,0.04772560135485625
Crawfordsville-TP6-4351_15_15,1196.1944444444443,854.8452380952381,649.5515873015873,1875.1349206349207,1527.0396825396826,526.6904761904761,Crawfordsville-TP6-4351,15,15,0.038889099821930506,0.01744036136425523,-0.018456212571631235
Crawfordsville-TP6-4352_20_9,1254.2034632034631,901.2727272727273,686.5714285714286,1950.3073593073593,1586.982683982684,573.4588744588744,Crawfordsville-TP6-4352,20,9,0.03981344513046401,0.024429131720556652,-0.04054644693471616
Crawfordsville-TP6-4351_12_19,1009.2007575757576,740.3825757575758,555.5075757575758,1621.064393939394,1292.4166666666667,449.6363636363636,Crawfordsville-TP6-4351,12,19,0.03338166694830038,0.03368911797783713,-0.041304422677560376
Crawfordsville-TP6-4351_11_16,1196.4444444444443,864.1269841269841,656.9761904761905,1857.7936507936508,1518.686507936508,540.8492063492064,Crawfordsville-TP6-4351,11,16,0.03802593959624339,0.01415310272706122,-0.017266501354544873
Crawfordsville-TP6-4352_17_9,1173.8095238095239,841.4920634920635,635.7698412698413,1843.154761904762,1483.0873015873017,538.3531746031746,Crawfordsville-TP6-4352,17,9,0.037691709247259286,0.03651581488956006,-0.06892881288663523
Crawfordsville-TP6-4353_24_43,1595.6239669421489,1148.2231404958677,845.7231404958678,2430.4297520661157,2011.0578512396694,637.2355371900826,Crawfordsville-TP6-4353,24,43,0.051332490662400455,-0.06670346428907034,-0.017530060614930683
Crawfordsville-TP6-4353_27_42,1626.7603305785124,1150.9504132231405,857.8595041322315,2483.7438016528927,2060.223140495868,646.8347107438017,Crawfordsville-TP6-4353,27,42,0.05281699830014014,-0.05950554173080985,-0.005244207107200855
