file,Red,Green,Blue,GLI,NGRDI
Crawfordsville-TP2-4353_33_46,83,99,83,0.08791208791208792,0.08791208791208792
Crawfordsville-TP2-4353_33_46,74,91,76,0.0963855421686747,0.10303030303030303
Crawfordsville-TP2-4353_33_46,74,90,76,0.09090909090909091,0.0975609756097561
Crawfordsville-TP2-4353_33_46,87,100,86,0.07238605898123325,0.06951871657754011
Crawfordsville-TP2-4353_33_46,89,100,87,0.06382978723404255,0.0582010582010582
Crawfordsville-TP2-4353_33_46,75,88,77,0.07317073170731707,0.07975460122699386
Crawfordsville-TP2-4353_33_46,71,85,74,0.07936507936507936,0.08974358974358974
Crawfordsville-TP2-4353_22_43,75,93,77,0.10059171597633136,0.10714285714285714
Crawfordsville-TP2-4353_22_43,74,91,77,0.09309309309309309,0.10303030303030303
Crawfordsville-TP2-4353_22_43,84,99,83,0.08493150684931507,0.08196721311475409
Crawfordsville-TP2-4353_22_43,80,97,82,0.0898876404494382,0.096045197740113
Crawfordsville-TP2-4353_22_43,97,110,94,0.0705596107055961,0.06280193236714976
Crawfordsville-TP2-4353_22_43,104,115,100,0.059907834101382486,0.0502283105022831
Crawfordsville-TP2-4353_22_43,97,110,94,0.0705596107055961,0.06280193236714976
Crawfordsville-TP2-4353_22_43,97,111,96,0.06987951807228916,0.0673076923076923
Crawfordsville-TP2-4353_22_43,96,108,93,0.06666666666666667,0.058823529411764705
Crawfordsville-TP2-4353_22_43,86,101,86,0.08021390374331551,0.08021390374331551
Crawfordsville-TP2-4353_22_43,97,108,94,0.06142506142506143,0.05365853658536585
Crawfordsville-TP2-4353_22_43,92,104,90,0.06666666666666667,0.061224489795918366
Crawfordsville-TP2-4353_22_43,109,119,104,0.05543237250554324,0.043859649122807015
Crawfordsville-TP2-4353_22_43,92,104,89,0.06940874035989718,0.061224489795918366
Crawfordsville-TP2-4353_22_43,69,87,73,0.10126582278481013,0.11538461538461539
Crawfordsville-TP2-4353_22_43,62,81,67,0.1134020618556701,0.13286713286713286
Crawfordsville-TP2-4353_27_43,77,94,79,0.09302325581395349,0.09941520467836257
Crawfordsville-TP2-4353_27_43,80,96,82,0.0847457627118644,0.09090909090909091
Crawfordsville-TP2-4353_27_43,77,94,79,0.09302325581395349,0.09941520467836257
Crawfordsville-TP2-4353_27_43,56,79,64,0.1366906474820144,0.17037037037037037
Crawfordsville-TP2-4353_27_43,74,91,77,0.09309309309309309,0.10303030303030303
