file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP5-4352_10_2,900.3666666666667,917.0,162066,706.7888888888889,718.0,127222,583.7777777777778,591.0,105080,-0.019454306938211565,-0.021702141462370338,-3.5017752488780816,-0.11138791771635335,-0.11984142680243383,-20.049825188943604,0.25311360749838285,0.24130688119833632,45.56044934970892,0.11498304885279567,0.12149532710280374,20.69694879350322,1165.4222222222222,1175.0,209776,527.6444444444444,536.0,94976,1484.1444444444444,1500.0,267146
Crawfordsville-TP5-4352_10_3,900.17,941.0,180034,702.48,734.5,140496,593.14,619.0,118628,-0.025165814690429493,-0.03002460772294213,-5.033162938085899,-0.11357183723962107,-0.12467063270321962,-22.714367447924214,0.2573046237225258,0.24475705303622622,51.46092474450517,0.11856051978796883,0.12135776534636736,23.712103957593765,1165.9,1208.0,233180,500.17,513.5,100034,1494.19,1552.5,298838
Crawfordsville-TP5-4352_10_5,882.4555555555555,884.5,158842,701.7888888888889,700.0,126322,598.5222222222222,600.5,107734,-0.02475497159180126,-0.026694986978670263,-4.455894886524227,-0.1096140780421894,-0.11322536348821241,-19.73053404759409,0.23781996617827433,0.23673315070608997,42.80759391208938,0.11492533046119444,0.11564166135392318,20.686559483015,1126.0222222222221,1112.5,202684,520.5444444444445,519.0,93698,1424.4333333333334,1427.5,256398
Crawfordsville-TP5-4352_10_6,969.44,995.5,193888,732.95,751.0,146590,621.83,630.5,124366,-0.03837077247997225,-0.04054228458182605,-7.674154495994449,-0.1331910064568782,-0.13895642478553538,-26.63820129137564,0.24653105965086783,0.24098449958563378,49.30621193017357,0.10859048357833608,0.11391768123303544,21.718096715667215,1261.85,1278.0,252370,533.18,532.5,106636,1582.91,1622.5,316582
Crawfordsville-TP5-4352_10_7,972.0439560439561,965.0,176912,727.7472527472528,722.0,132450,588.0879120879121,585.0,107032,-0.03236649666992939,-0.033438485804416405,-5.890702393927149,-0.13987432337033223,-0.14345331246739698,-25.457126853400467,0.24921019279361056,0.24817518248175183,45.35625508843712,0.12535283013478793,0.12754716981132075,22.814215084531405,1239.923076923077,1229.0,225666,509.84615384615387,515.0,92792,1603.4395604395604,1579.0,291826
Crawfordsville-TP5-4352_10_8,958.3666666666667,995.0,172506,738.6666666666666,762.0,132960,617.8333333333334,637.5,111210,-0.02912484063753345,-0.033667220436143716,-5.2424713147560205,-0.12340126922989426,-0.13209696136158508,-22.212228461380967,0.25218031786515344,0.24314845538941682,45.39245721572762,0.12372792330016225,0.12657557438270473,22.271026194029204,1223.9666666666667,1263.5,220314,532.0,547.0,95760,1582.0222222222221,1630.5,284764
Crawfordsville-TP5-4352_10_9,1010.25,995.0,202050,753.92,737.0,150784,625.56,618.5,125112,-0.03843234407946602,-0.0400820224940828,-7.686468815893203,-0.14093048358889962,-0.1442035749650692,-28.186096717779925,0.2504549174757831,0.24552855740532942,50.090983495156614,0.11737950451506823,0.12107132101987553,23.475900903013645,1306.71,1292.5,261342,542.22,548.0,108444,1666.0,1640.5,333200
Crawfordsville-TP5-4352_11_2,995.3,951.5,199060,756.19,731.0,151238,616.21,598.0,123242,-0.02929592447163769,-0.03077182142602703,-5.859184894327538,-0.1325766950825994,-0.13289655081430862,-26.515339016519878,0.2542599239996131,0.25082396277626984,50.85198479992262,0.12735347627703902,0.128088234509236,25.470695255407804,1278.98,1236.5,255796,529.06,515.5,105812,1659.53,1603.0,331906
Crawfordsville-TP5-4352_11_3,956.28,1010.5,191256,744.66,785.0,148932,616.33,644.5,123266,-0.02134685659871411,-0.027456203583914554,-4.269371319742822,-0.1144731986192258,-0.12548389907514595,-22.89463972384516,0.24748186249894258,0.23712919206954225,49.496372499788514,0.1127882793623953,0.12195827024714775,22.55765587247906,1222.99,1280.0,244598,523.17,550.0,104634,1554.13,1649.5,310826
Crawfordsville-TP5-4352_11_4,1034.16,1035.0,206832,790.14,790.0,158028,651.25,648.5,130250,-0.022968662285419526,-0.030070881845623114,-4.593732457083905,-0.1155765207151815,-0.13076819877109663,-23.1153041430363,0.26212483632316697,0.2469142687850377,52.42496726463339,0.11196471136439047,0.11999658106829107,22.392942272878095,1329.28,1312.0,265856,587.74,596.0,117548,1699.87,1696.5,339974
Crawfordsville-TP5-4352_11_5,901.5333333333333,887.0,162276,687.1,674.5,123678,579.8666666666667,565.5,104376,-0.03484484869572754,-0.03697384594751846,-6.272072765230957,-0.12972873255740205,-0.1333633545933151,-23.351171860332368,0.2429402220819067,0.24075394702957548,43.7292399747432,0.11744284381861617,0.1188395555563386,21.13971188735091,1149.9555555555555,1148.0,206992,521.1777777777778,514.5,93812,1465.4777777777779,1446.5,263786
Crawfordsville-TP5-4352_11_6,869.13,910.5,173826,691.49,714.0,138298,584.18,604.0,116836,-0.02259677650807557,-0.02579087346024636,-4.519355301615114,-0.10933150977217851,-0.11435930059396676,-21.866301954435702,0.24755131672256198,0.24159141497096326,49.510263344512396,0.11348783967798841,0.11670440300806814,22.697567935597682,1131.69,1152.5,226338,506.92,517.0,101384,1428.72,1489.0,285744
Crawfordsville-TP5-4352_11_7,1027.33,1050.5,205466,770.0,786.5,154000,634.54,647.0,126908,-0.034221039724513236,-0.035461668390466765,-6.844207944902647,-0.13618965111338818,-0.13963746711589053,-27.237930222677637,0.25569862963783946,0.24621854551578137,51.139725927567895,0.12483042465279373,0.12940901362215187,24.966084930558747,1315.5,1340.0,263100,532.09,546.0,106418,1705.15,1734.5,341030
